6.0000e-02	1.51873345e-03	3.75780580e-03	4.64896163e-03	32127	4.26145590e-03
8.0000e-02	1.36316952e-03	2.67598103e-03	6.34151276e-03	1069	4.97710098e-03
1.0000e-01	1.23446272e-03	1.89570396e-03	8.07009497e-03	1207	5.61460671e-03
1.2000e-01	1.11160532e-03	1.32631196e-03	9.76823149e-03	1502	6.17714774e-03
1.5000e-01	9.02411528e-04	8.04505078e-04	1.20175849e-02	1576	6.85154661e-03
2.0000e-01	6.31128903e-04	3.35538585e-04	1.52599547e-02	2696	7.72069934e-03
2.5000e-01	3.87554726e-04	1.99945280e-04	1.70721927e-02	1380	8.16628757e-03
3.2000e-01	2.43866001e-04	4.54000838e-05	1.98945145e-02	5801	8.81549473e-03
4.0000e-01	1.20839737e-04	3.19161263e-05	2.06749771e-02	1271	8.98674743e-03
6.0000e-01	3.23287713e-05	1.80591305e-05	2.18683300e-02	3081	9.24246526e-03
#8.0000e-01	1.15219118e-05	1.76364993e-05	2.20027126e-02	310	9.27081960e-03
#1.0000e+00	5.12234556e-06	1.75984351e-05	2.20281296e-02	94	9.27617276e-03
#1.2000e+00	2.63411403e-06	1.75984351e-05	2.20281329e-02	1	9.27617346e-03
#1.5000e+00	1.16711692e-06	1.75981841e-05	2.20281364e-02	2	9.27617421e-03
#2.0000e+00	4.08635628e-07	1.75981841e-05	2.20281382e-02	1	9.27617458e-03
#2.5000e+00	1.81052144e-07	1.75981841e-05	2.20281394e-02	1	9.27617482e-03
