4.0	16290	6.78478329518839e-07	2.518074495583278e-07	0.0	2.8838630896643735e-06
2.5	16291	6.78478329518839e-07	1.398645053996006e-06	0.0	2.8838630896643735e-06
2.0	16292	6.78478329518839e-07	3.156704906359664e-06	0.0	2.8838630896643735e-06
1.5	16455	6.741939273524622e-07	8.691999937582295e-06	0.0	3.011487024195958e-06
1.2	16918	6.613290111090464e-07	1.8331387764192186e-05	0.0	3.7025322399131255e-06
1.0	17118	6.54860002669011e-07	3.340736293466762e-05	0.0	5.345241788745625e-06
0.8	18094	6.251285071812163e-07	6.191012653289363e-05	0.0	1.3814592421113048e-05
0.6	19082	6.375652787937724e-07	0.00012346905714366585	0.0	4.669371628551744e-05
0.4	21877	7.07444030467741e-07	0.0002679509634617716	0.0	0.0001784805062925443
0.25	26238	1.5462334204130457e-06	0.0005971890059299767	0.0	0.0005380793008953333
0.2	27440	2.7343085093889385e-06	0.0008926150621846318	0.0	0.0008262200281023979
0.15	34321	6.314794063655427e-06	0.0013594185002148151	0.0	0.0013926014071330428
0.12	55384	1.0352591743867379e-06	0.00039382706745527685	0.0	2.9266306228237227e-05
0.1	55851	1.889965460577514e-06	0.0007139950175769627	0.0	5.063668140792288e-05
0.08	56495	5.336996309779352e-06	0.0014104360016062856	0.0	0.00011612182424869388
0.06	59444	1.879176306829322e-05	0.002942153252661228	0.0	0.0003201367799192667
