C	7	9.395864	2.736231803894043
B	200	5.315806	4.922057390213013
C	351	0.9850401	6.746852397918701
B	500	0.64279723	8.483129739761353
C	954	0.09998746	13.050196170806885
B	1000	0.11161764	13.90935468673706
B	3000	0.028792825	31.620859384536743
B	5000	0.022296106	49.376503705978394
B	7000	0.012749709	66.56733179092407
C	7621	0.009999358	72.82819390296936
B	10000	0.0031248177	93.73363018035889
B	10100	0.0013610712485387921	97.3958888053894
C	10167	0.000998585019260645	100.11672377586365
C	11033	9.968732774723321e-05	126.30850839614868
B	12000	3.2477546483278275e-05	155.94744753837585
C	13695	9.997801498684566e-06	207.15065145492554
B	15000	5.948326361249201e-06	245.96904301643372
E	16290	3.814148840319831e-06	286.2647738456726
E	16291	4.960986188962124e-06	287.35750222206116
E	16292	6.719046268699458e-06	288.4377374649048
E	16455	1.2377680832287297e-05	294.56240034103394
E	16918	2.26952488446841e-05	309.4691061973572
E	17118	3.940746682928875e-05	316.4157018661499
E	18094	7.634984649484977e-05	347.26368474960327
E	19082	0.00017080034012906253	377.61998748779297
B	20000	0.000451801810413599	405.6414439678192
E	21877	0.00044713891111314297	462.9213128089905
B	25000	0.0011424272088333964	557.1847791671753
E	26238	0.0011368144769221544	595.5100150108337
E	27440	0.001721569336950779	631.3033673763275
B	30000	0.0028475834988057613	706.4803521633148
E	34321	0.00275833485648036	835.0820605754852
B	35000	0.004018671344965696	856.4320869445801
B	40000	0.0014755844604223967	1004.8718180656433
B	45000	0.0005849801236763597	1157.6362969875336
B	50000	0.0004692336660809815	1308.623696565628
B	55000	0.0004262356087565422	1461.9243552684784
E	55384	0.00042412863695062697	1475.2138607501984
E	55851	0.0007665216689929366	1490.0771715641022
E	56495	0.0015318947844207287	1510.2810962200165
E	59444	0.0032810817938297987	1603.6268076896667
F	59444	0.0032810817938297987	1604.587870836258
