0.36	23135	3.985996954725124e-05	9.560404578223825e-06	4.774787521455437e-05	3.2756946893641725e-05	2.2862782778076962e-09	2.0396921172505245e-05	0.0	6.077513171476312e-05
0.24	23136	3.985996954725124e-05	9.560404578223825e-06	4.774787521455437e-05	3.2756946893641725e-05	2.2862782778076962e-09	8.920684194890782e-05	0.0	6.077513171476312e-05
0.16	26899	2.9896667911089025e-05	1.8185586668550968e-05	4.64750082755927e-05	3.061391180381179e-05	1.1902334152991134e-11	5.6502296502003446e-05	0.0	9.467412019148469e-05
0.12	27729	3.072115214308724e-05	2.353143645450473e-05	4.871002965955995e-05	2.9269100195961073e-05	7.366625538740568e-12	9.01421663002111e-05	0.0	0.00011981620627921075
0.09	28092	3.127268792013638e-05	2.9144004656700417e-05	5.991517173242755e-05	3.052157262573019e-05	1.9411408036518196e-09	0.00015485231415368617	0.0	0.00015925601474009454
0.064	35627	2.0867644707323052e-05	2.0588153347489424e-05	2.9992208510520868e-05	1.7733031199895777e-05	1.9586816613070823e-09	0.00010428964742459357	0.0	0.00012702053936664015
0.048	36010	2.110530658683274e-05	3.1367897463496774e-05	3.9940969145391136e-05	1.7067754015442915e-05	1.2030753282488149e-08	0.0001949421566678211	0.0	0.00016062057693488896
0.036	36368	2.1460042262333445e-05	5.1241360779386014e-05	5.889073872822337e-05	1.8992543118656613e-05	9.3300025483245e-09	0.0003251605376135558	0.0	0.00022830434318166226
0.028	38213	2.221948125225026e-05	5.63095927645918e-05	6.920660234754905e-05	1.8514123439672403e-05	1.998327014973711e-08	0.00035164132714271545	0.0	0.00035139702958986163
0.02	38602	2.2500862542074174e-05	8.209364750655368e-05	9.135793516179547e-05	1.9104967577732168e-05	3.747918597696298e-08	0.0006179624469950795	0.0	0.0004607450682669878
