2.0000e-02	6.17962447e-04	4.60745068e-04	8.92580191e-04	389	5.97521612e-03
2.8000e-02	3.51641327e-04	3.51397030e-04	1.03734882e-03	1845	6.44158000e-03
#3.6000e-02	3.25160538e-04	2.28304343e-04	1.36706094e-03	358	7.39475744e-03
4.8000e-02	1.94942157e-04	1.60620577e-04	1.61657700e-03	383	8.04133571e-03
#6.4000e-02	1.04289647e-04	1.27020539e-04	1.85614820e-03	7535	8.61660769e-03
#9.0000e-02	1.54852314e-04	1.59256015e-04	3.31075579e-03	363	1.15078335e-02
1.2000e-01	9.01421663e-05	1.19816206e-04	3.94674264e-03	830	1.25646212e-02
#1.6000e-01	5.65022965e-05	9.46741202e-05	4.84098447e-03	3763	1.39154367e-02
#2.4000e-01	8.92068419e-05	6.07751317e-05	9.60402061e-03	1	1.96000210e-02
3.6000e-01	2.03969212e-05	6.07751317e-05	9.60402128e-03	23135	1.96000217e-02
